Flood,Aspect,CTI,Curvature,DEM,Distance_river,Distance_road,Landuse2005,Rainfall2005,Slope,SPI,TWI
Yes,0.41325100000000003,0.25206999999999996,0.697742,0.00613,0.06652000000000001,0.003201,0.75,0.013434999999999999,0.008915000000000001,0.0,0.25206999999999996
Yes,0.45946400000000004,0.3527,0.6964319999999999,0.004565,0.054702999999999995,0.032822000000000004,0.5,0.013434999999999999,0.001906,0.0,0.3527
Yes,0.058971,0.200473,0.697328,0.005474000000000001,0.043525,0.046403,1.0,0.005501,0.028042,0.0,0.200473
Yes,0.883898,0.41780900000000004,0.696181,0.004711,0.025330000000000002,0.02988,0.5,0.022593000000000002,0.0006730000000000001,0.0,0.41780900000000004
Yes,0.16000599999999998,0.30299899999999996,0.695565,0.004575,0.066208,0.065653,1.0,0.005501,0.008627,1e-06,0.30299899999999996
Yes,0.356576,0.362774,0.696086,0.004618,0.014874,0.035969,0.5,0.022593000000000002,0.003048,0.0,0.362774
Yes,0.23781799999999997,0.34525700000000004,0.695753,0.004365,0.121582,0.042529000000000004,1.0,0.005501,0.004497999999999999,1e-06,0.34525700000000004
Yes,0.472772,0.357097,0.696489,0.004574,0.021873,0.037622,1.0,0.013434999999999999,0.0008640000000000001,0.0,0.357097
Yes,0.270041,0.387251,0.6962649999999999,0.004646,0.098343,0.020869,1.0,0.005501,0.0008849999999999999,0.0,0.387251
Yes,0.849878,0.327386,0.696446,0.004946,0.106081,0.005771,1.0,0.000579,0.0033450000000000003,0.0,0.327386
Yes,0.258152,0.20792199999999997,0.678902,0.004975,0.093128,0.001132,1.0,4.9e-05,0.047492,3e-06,0.20792199999999997
Yes,0.22343200000000002,0.27705599999999997,0.697203,0.006026,0.047066000000000004,0.001132,0.5,4.9e-05,0.005117,0.0,0.27705599999999997
Yes,0.264272,0.333662,0.696462,0.0059960000000000005,0.048485,0.006790999999999999,0.5,4.9e-05,0.004365,0.0,0.333662
Yes,0.144479,0.321833,0.696087,0.00633,0.048911,0.005771,1.0,0.0,0.007568999999999999,1e-06,0.321833
Yes,0.692819,0.307058,0.69616,0.004613,0.10012599999999999,0.013199,0.5,0.000579,0.005255,0.0,0.307058
Yes,0.29490500000000003,0.352047,0.695947,0.00515,0.065388,0.012654,1.0,0.002445,0.00677,2e-06,0.352047
Yes,0.722468,0.312343,0.696092,0.005184,0.164167,0.001132,1.0,0.000579,0.004673,0.0,0.312343
Yes,0.422392,0.326048,0.697023,0.005515,0.18086300000000002,0.00967,1.0,0.000579,0.0017230000000000001,0.0,0.326048
Yes,0.564886,0.323719,0.697263,0.0046170000000000004,0.17360699999999998,0.01757,0.5,0.010058,0.0018149999999999998,0.0,0.323719
Yes,0.44409,0.23925300000000002,0.6955279999999999,0.004765999999999999,0.19121,0.005771,0.5,0.010058,0.023698,1e-06,0.23925300000000002
Yes,0.6598069999999999,0.342877,0.6958340000000001,0.0065439999999999995,0.099628,0.031447,0.75,0.035776999999999996,0.008298999999999999,3e-06,0.342877
Yes,0.450639,0.425461,0.695708,0.006645,0.074167,0.008003,0.75,0.035776999999999996,0.004164,5e-06,0.425461
Yes,0.401643,0.376644,0.696213,0.006958,0.07319099999999999,0.008161,0.75,0.035776999999999996,0.00224,0.0,0.376644
Yes,0.233019,0.31006100000000003,0.696671,0.006822,0.062601,0.021052,0.75,0.035776999999999996,0.0024579999999999997,0.0,0.31006100000000003
Yes,0.160658,0.253972,0.696873,0.00556,0.068507,0.007157999999999999,0.5,0.015773,0.02563,3e-06,0.253972
Yes,0.081709,0.306402,0.696793,0.00448,0.184564,0.0035789999999999997,0.5,0.010438,0.002666,0.0,0.306402
Yes,0.770841,0.334069,0.69367,0.004599,0.034923,0.006790999999999999,1.0,0.015773,0.008651,2e-06,0.334069
Yes,0.20888099999999998,0.5056930000000001,0.6960270000000001,0.004259000000000001,0.018293,0.009125,1.0,0.009623,0.001656,5e-06,0.5056930000000001
Yes,0.6905640000000001,0.526068,0.695199,0.004273,0.021167,0.002531,1.0,0.009623,0.000891,2e-06,0.526068
Yes,0.380303,0.261364,0.696823,0.005247,0.031245,0.047075,1.0,0.008561,0.021751,2e-06,0.261364
Yes,0.247542,0.371802,0.696229,0.004494,0.21648499999999998,0.020404,0.5,0.0030960000000000002,0.0006230000000000001,0.0,0.371802
Yes,0.648259,0.371273,0.6963050000000001,0.004543999999999999,0.179497,0.018109,0.5,0.0030960000000000002,0.0012619999999999999,0.0,0.371273
Yes,0.10605999999999999,0.284125,0.695976,0.004478,0.193553,0.023222,0.5,0.010438,0.004374,0.0,0.284125
No,0.967878,0.26642899999999997,0.696289,0.008278,0.035356,0.057942999999999995,0.25,0.018436,0.045312,1.4999999999999999e-05,0.26642899999999997
Yes,0.12815,0.25395,0.697213,0.0053170000000000005,0.004989,0.005659,0.5,0.027769,0.00855,0.0,0.25395
Yes,0.276334,0.291488,0.695699,0.0047740000000000005,0.011759,0.011373999999999999,0.5,0.027769,0.018565,4e-06,0.291488
Yes,0.244445,0.313019,0.6966140000000001,0.005326,0.006856999999999999,0.017715,0.5,0.027769,0.009207,1e-06,0.313019
Yes,0.9792379999999999,0.396791,0.6962430000000001,0.0046159999999999994,0.043366,0.023222,0.5,0.020069999999999998,0.0014320000000000001,0.0,0.396791
Yes,0.151111,0.35593600000000003,0.696455,0.004386999999999999,0.026608,0.015394,0.0,0.020069999999999998,0.0017739999999999998,0.0,0.35593600000000003
Yes,0.806913,0.23326100000000002,0.695623,0.0052759999999999994,0.033632,0.0,1.0,0.027769,0.013538999999999999,0.0,0.23326100000000002
